actor_eng,actor_kor,gender,birth
Moon Byul,"문별
",1.0,"December 22, 1992"
Seulgi,강슬기,1.0,"February 10, 1994"
D.ana,디애나,1.0,"September 10, 1995"
YooA,"유아
",1.0,"September 17, 1995"
Ryu Soo Jung,류수정,1.0,"November 19, 1997"
Lee Tae Im,이태임,1.0,"October 15, 1986"
Lee Jae Woo,이재우,0.0,"June 28, 1991"
Yoo Geon,"유건
",0.0,"January 21, 1983"
Kang Kyung Joon,강경준,0.0,"February 11, 1983"
Cha Do Jin,차도진,0.0,"July 15, 1983"
Do Ji Han,도지한,0.0,"September 24, 1991"
Nam Bo Ra,남보라,1.0,"November 27, 1989"
Key,"키
A",0.0,"September 23, 1991"
Song Sun Mi,송선미,1.0,"September 13, 1974"
Kang Sung Yun,강성연,1.0,"July 21, 1976"
Lee Pil Mo,이필모,0.0,"June 26, 1974"
Park Chul Min,박철민,0.0,"January 18, 1967"
Chu Jung Hun,추정훈,0.0,"October 15, 1990"
Im Do Yoon,임도윤,1.0,"September 20, 1986"
Jung In Tae,정인태,0.0,"October 26, 1989"
Kim So Ri,김소리,1.0,"July 21, 1990"
Lee Ye Eun,이예은,1.0,"May 18, 1989"
Lee Su Ji,이수지,1.0,"March 20, 1998"
Teramoto Yukika,,,
Gu Bon Seung,구본승,0.0,"September 11, 1973"
Choi Yoon So,최윤소,1.0,"November 29, 1984"
Jung Da Sol,정다솔,1.0,"March 5, 1988"
Jo Yoon Woo,조윤우,0.0,"July 27, 1991"
Lee Chae Eun,이채은,1.0,"November 14, 1981"
Kim Se Yong,"세용
",0.0,"November 20, 1991"
Hong Sung Ho,홍성호,0.0,"September 15, 1991"
Oh Se Hyun,오세현,0.0,"March 8, 1994"
In Jun,"인준
",0.0,"March 9, 1992"
Lee Hyun Jae,이현재,0.0,"April 12, 1988"
Lee Hyun Woo,이현우,0.0,"March 23, 1993"
Kim Hyun Ji,김현지,1.0," Name: Hyun Ji
Family Name: Kim
Native name: 김현지
Also Known as: Kim Hyeon Ji
Nationality: South Korean"
Gu Hye Seon,구혜선,1.0,"November 9, 1984"
Jung Gyu Woon,정겨운,0.0,"June 28, 1982"
Jim Yu,김수찬,0.0,"November 18, 1994"
Cho Hye Jin,조혜진,1.0,"June 15, 1990"
Go So Young,고소영,1.0,"October 6, 1972"
Park Hyuk Kwon,박혁권,0.0,"July 11, 1971"
Kim Ji Min,김지민,1.0,"February 12, 2000"
Kang Dong Ho,김동호,0.0,"August 17, 1985"
Na Ya,"나야
",1.0,"March 21, 1986"
Heo Young Ran,허영란,1.0,"September 16, 1980"
Lee In,"이인
",0.0,"June 14, 1984"
Seo Jae Woo,서재우,0.0,"June 21, 1992"
Yoon Seung Ah,윤승아,1.0,"September 29, 1983"
Wang Ji Hye,왕지혜,1.0,"December 29, 1985"
Kim Min Soo,김민수,0.0,"September 20, 1983"
Lee Young Eun,이영은,1.0,"August 9, 1982"
Kim Mi Kyung,김미경,1.0,"October 14, 1963"
Lee Yoon Ji,이윤지,1.0,"March 15, 1984"
Jo Yeon Ho,조연호,0.0,"August 19, 2010"
Lee Ha Yul,이하율,0.0,"May 20, 1987"
Heo Jung Eun,허정은,1.0,"September 14, 2007"
Jin Yi Han,진이한,0.0,"October 10, 1978"
Son Ga Young,손가영,1.0,"October 2, 1985"
Jo Jin Woong,조진웅,0.0,"March 3, 1976"
Nha Phuong,,,
Kang Byul,"강별
",1.0,"August 9, 1990"
Sun Woo Jae Duk,선우재,0.0,"July 23, 1962"
Kwon Hyun Sang,권현상,0.0,"July 2, 1981"
Kwon BoA,권보아,1.0,"November 5, 1986"
Choi Tae Hwan,최태환,0.0,"February 28, 1989"
