actor_eng,actor_kor,gender,birth
Roh Jeong Eui,노정의,1.0,"July 31, 2001"
Lee Jin Hyuk,"웨이
",0.0,"June 8, 1996"
Seo In Guk,서인국,0.0,"October 23, 1987"
Oh Yeon Seo,오연서,1.0,"June 22, 1987"
Kwak Shi Yang,곽시양,0.0,"January 15, 1987"
Kwon Soo Hyun,권수현,0.0,"August 18, 1986"
Lee Yoo Ri,이유리,1.0,"January 28, 1980"
Lee Min Young,이민영,1.0,"February 6, 1976"
Yoon So Yi,윤소이,1.0,"January 5, 1985"
Park Se Wan,박세완,1.0,"September 24, 1994"
Song Geon Hee,송건희,0.0,"August 16, 1997"
Chani,강찬희,0.0,"January 17, 2000"
Hwiyoung,"휘영
",0.0,"May 11, 1999"
Park Ye Young,박예영,1.0,"August 22, 1989"
Jung Eun Chae,정은채,1.0,"November 24, 1986"
Kim Joon Han,김준한,0.0,"March 29, 1983"
Jung So Min,정소민,1.0,"March 16, 1989"
Yoon Ji Hye,윤지혜,1.0,"November 10, 1979"
Seo Hyun,"서현
",1.0,"June 28, 1991"
Na In Woo,나인우,0.0,"September 17, 1994"
Jeon Kwang Ryul,전광렬,0.0,"February 11, 1960"
Kim Geum Soon,김금순,1.0,"August 21, 1973"
Jung Hye Sung,정혜성,1.0,"April 29, 1991"
Hwang Seung Eon,황승언,1.0,"October 31, 1988"
Jang Eui Soo,장의수,0.0,"January 22, 1990"
Park Jin Young,박진영,0.0,"September 22, 1994"
Lee Yoo Young,이유영,1.0,"December 8, 1989"
Yeo Jin Goo,여진구,0.0,"August 13, 1997"
Son Woo Hyun,손우현,0.0,"November 30, 1989"
Kim Kang Min,김강민,0.0,"December 2, 1998"
Kim Jae Hwa,김재화,1.0,"September 1, 1980"
Yeom Jung Ah,염정아,1.0,"July 28, 1972"
Jeon So Min,전소민,1.0,"April 7, 1986"
Lee Moo Saeng,이무생,0.0,"May 10, 1980"
So Ji Sub,소지섭,0.0,"November 4, 1977"
Shin Sung Rok,신성록,0.0,"November 23, 1982"
Seo Hyun Jin,서현진,1.0,"February 27, 1985"
Hwang In Youp,황인엽,0.0,"January 19, 1991"
Seo Yea Ji,서예지,1.0,"April 6, 1990"
Park Byung Eun,박병은,0.0,"July 14, 1977"
Won Ji An,원지안,1.0,"August 17, 1999"
Han Se Jin,이세진,0.0,"April 3, 1996"
Yang Seo Hyun,양서현,1.0,"February 6, 1997"
Lee Sol Gu,이설구,0.0,"December 17, 1968"
Yoon Kye Sang,윤계상,0.0,"December 20, 1978"
Kim Ji Suk,김지석,0.0,"April 21, 1981"
Lee Hyun Jin,이현진,0.0,"March 5, 1985"
Lee Hwi Hyang,이휘향,1.0,"November 19, 1960"
Na Young Hee,나영희,1.0,"September 20, 1961"
Lee Jin Wook,이진욱,0.0,"September 16, 1981"
Kim Song,"김송
",0.0,"July 10, 1992"
Han Hyun Jun,한현준,0.0,"June 7, 1999"
Kim Tae Hwan,김태환,0.0,"July 12, 1992"
Yoon Kyun Sang,윤균상,0.0,"March 31, 1987"
Sung Hoon,방인규,0.0,"February 14, 1983"
Shin Dong Wook,신동욱,0.0,"September 14, 1982"
Choi Sung Eun,최성은,1.0,"June 17, 1996"
Lee Su Chan,이수찬,0.0," Name: Su Chan
Family Name: Lee
Native name: 이수찬
Nationality: South Korean"
Park Ha Eun,박하은,1.0," Name: Ha Eun
Family Name: Park
Native name: 박하은
Also Known as: Bag Ha Eun
Nationality: South Korean"
Choi Chan Woo,최ᄎ,0.0," Name: Chan Woo
Family Name: Choi
Native name: 최찬우
Nationality: South Korean"
Kim Gyu Nam,김규남,1.0,"November 14, 1995"
Shin Ki Seong,기성아,0.0,
Son Ho Tae,손,0.0,"November 5, 1995"
Yoon Doo Joon,윤두준,0.0,"July 4, 1989"
Kwak Do Won,곽도원,0.0,"May 17, 1973"
Han Go Eun,한고은,1.0,"March 10, 1975"
Park Won Sook,박원숙,1.0,"January 19, 1949"
Jung Dong Won,정동원,0.0,"March 19, 2007"
Lee Joon,"이준
",0.0,"February 7, 1988"
Kang Han Na,강한나,1.0,"January 30, 1989"
Park Hyun Woo,박현우,1.0," Name: Hyun Woo
Family Name: Park
Native name: 박현우
Also Known as: Park Hyeon Woo, Hyeon Woo
Nationality: South Korean"
Kim Young Pyo,김영표,0.0,"August 25, 1986"
Jung Seon Hee,정선희,1.0," Name: Seon Hee
Family Name: Jung
Native name: 정선희
Also Known as: Jung Sun Hee, Jeong Sun Hee, Jeong Seon Hee, Jeong Seon Hui
Nationality: South Korean"
Oh Hyun Suk,오현석,0.0," Name: Hyun Suk
Family Name: Oh
Native name: 오현석
Also Known as: Oh Hyeon Seok, Oh Hyun Seok, Oh Hyeon Suk
Nationality: South Korean"
Joo Ei An,이인행,0.0,"April 21, 1992"
Kim Ji Young,김지영,1.0,"July 8, 2005"
Lee Kwang Soo,이광수,0.0,"July 14, 1985"
Jin Hee Kyung,진희경,1.0,"September 7, 1968"
Holland,홀랜드,0.0,"March 4, 1996"
Han Gi Chan,한기찬,0.0,"September 6, 1998"
Jung Joon Ho,정준호,0.0,"October 1, 1969"
Park Hae Jin,박해진,0.0,"May 1, 1983"
Yoon Jong Hoon,윤종훈,0.0,"February 15, 1984"
Kim Yoon Hye,김윤혜,1.0,"May 24, 1991"
Lee Jung Shin,이정신,0.0,"September 15, 1991"
Koo Geum Bi,구금비,1.0," Name: Geum Bi
Family Name: Koo
Native name: 구금비
Also Known as: Gu Geum Bi, Goo Geum Bi
Nationality: South Korean"
Park Ji Hyun,박지현,1.0,"November 26, 1994"
Kim Moo Joon,김무준,0.0,"May 24, 1998"
