eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor
Jung Hae In,7,정해인,0.0,1986-12-07,18,2013.0,0.0,0.0,0.0
Koo Kyo Hwan,3,구교환,0.0,1986-12-07,9,2006.0,1.0,0.0,0.0
Kim Sung Kyun,6,김성균,0.0,1986-12-07,12,2001.0,1.0,0.0,0.0
Son Suk Ku,7,손석구,0.0,1986-12-07,13,2011.0,1.0,0.0,0.0
Lee Sung Min,6,이성민,0.0,1986-12-07,31,1987.0,1.0,0.0,0.0
Jung Jin Young,12,정진영,0.0,1986-12-07,19,1988.0,1.0,0.0,0.0
Kyung Soo Jin,8,경수진,1.0,1986-12-07,24,2012.0,0.0,0.0,0.0
Lee Hak Joo,4,이학주,0.0,1986-12-07,19,2012.0,0.0,0.0,0.0
Kim Shin Rok,2,김신록,1.0,1986-12-07,10,2004.0,1.0,0.0,0.0
Park Gyu Young,3,박규영,1.0,1986-12-07,16,2016.0,0.0,0.0,0.0
Kang Min Hyuk,5,강민혁,0.0,1986-12-07,17,2010.0,0.0,1.0,0.0
Lee Chung Ah,6,이청아,1.0,1986-12-07,29,2002.0,0.0,0.0,0.0
Lee Dong Gun,7,이동건,0.0,1986-12-07,26,1998.0,0.0,1.0,0.0
Jeon Hyo Sung,2,전효성,1.0,1986-12-07,27,2005.0,0.0,1.0,0.0
Kim Myung Soo,7,엘,0.0,1986-12-07,18,2010.0,0.0,1.0,0.0
Choi Jin Hyuk,7,최진혁,0.0,1986-12-07,27,2006.0,0.0,0.0,0.0
Choi Min Soo,5,최민수,0.0,1986-12-07,28,1985.0,1.0,0.0,0.0
Yeonwoo,5,연우,1.0,1986-12-07,14,2016.0,0.0,1.0,0.0
Kim Yoo Ri,3,김유리,1.0,1986-12-07,15,2006.0,0.0,0.0,0.0
Kim Tae Ri,3,김태리,1.0,1986-12-07,3,2012.0,1.0,0.0,0.0
Oh Jung Se,7,오정세,0.0,1986-12-07,31,1997.0,0.0,0.0,0.0
Hong Kyung,1,홍경,0.0,1986-12-07,11,2017.0,0.0,0.0,0.0
Kim Tae Hee,3,김태희,1.0,1986-12-07,15,2000.0,0.0,0.0,
Im Ji Yeon,8,임지연,1.0,1986-12-07,13,2011.0,0.0,0.0,
Kim Sung Oh,3,김성오,0.0,1986-12-07,29,2000.0,1.0,0.0,
Choi Jae Rim,1,최재림,0.0,1986-12-07,4,2009.0,1.0,0.0,
Lee Jun Ho,6,이준호,0.0,1986-12-07,15,2008.0,0.0,1.0,
Im Yoon Ah,5,임윤아,1.0,1986-12-07,20,2007.0,0.0,1.0,
Shin Hye Sun,8,신혜선,1.0,1986-12-07,17,2012.0,0.0,0.0,
Ahn Bo Hyun,7,안보현,0.0,1986-12-07,19,2007.0,0.0,0.0,
Ha Yoon Kyung,1,하윤경,1.0,1986-12-07,7,2015.0,1.0,0.0,
Ahn Dong Goo,1,안동구,0.0,1986-12-07,8,2019.0,0.0,0.0,
Woo Do Hwan,7,우도환,0.0,1986-12-07,9,2011.0,0.0,0.0,
Lee Sang Yi,3,이상이,0.0,1986-12-07,16,2014.0,1.0,0.0,
Heo Joon Ho,7,허준호,0.0,1986-12-07,31,1986.0,0.0,0.0,
Park Sung Woong,9,박성웅,0.0,1986-12-07,33,1997.0,0.0,0.0,
Cha Sun Woo,3,차선우,0.0,1986-12-07,18,2011.0,0.0,1.0,
Ha Seung Ri,2,하승리,1.0,1986-12-07,30,1999.0,0.0,0.0,1.0
Choi Yoo Jung,2,최유정,1.0,1986-12-07,14,2016.0,0.0,1.0,
Kim Jong Hyeon,2,김종현,0.0,1986-12-07,14,2012.0,0.0,1.0,
Lee Eun Saem,1,이은샘,1.0,1986-12-07,12,2007.0,0.0,0.0,1.0
Yeri,2,예리,1.0,1986-12-07,10,2015.0,0.0,1.0,
Lee Jong Hyuk,6,이종혁,0.0,1986-12-07,6,2021.0,0.0,0.0,
Yoo Jung Hoo,2,유정후,0.0,1986-12-07,4,2022.0,0.0,0.0,
