eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,actor_type_real,actor_type,,,child_actor
Jung Hae In,7,정해인,0,01-Apr-88,18,2013,0,0,"탤런트,영화배우","정해인
탤런트, 영화배우",,,0
Koo Kyo Hwan,3,구교환,0,14-Dec-82,9,2006,0,0,"영화배우,영화감독","구교환
영화배우, 영화감독",,,0
Kim Sung Kyun,6,김성균,0,25-May-80,12,2001,1,0,"연극배우,영화배우","김성균
연극배우, 영화배우",,,0
Son Suk Ku,7,손석구,0,07-Feb-83,13,2011,0,0,영화배우,"손석구
Sukku Son
영화배우",,,0
Lee Sung Min,6,이성민,0,04-Dec-68,31,1987,0,0,"탤런트,영화배우","이성민
탤런트, 영화배우",,,0
Jung Jin Young,12,정진영,0,18-Nov-91,19,1988,0,0,"영화배우,영화감독","정진영
영화배우, 영화감독",,,0
Kyung Soo Jin,8,경수진,1,05-Nov-87,24,2012,0,0,탤런트,"경수진
탤런트",,,0
Lee Hak Joo,4,이학주,0,09-Jan-89,19,2012,0,0,영화배우,"이학주
영화배우",,,0
Kim Shin Rok,2,김신록,1,24-Mar-81,10,2004,0,0,영화배우,"김신록
영화배우",,,0
Park Gyu Young,3,박규영,1,27-Jul-93,16,2016,0,0,탤런트,"박규영
탤런트",,,0
Kang Min Hyuk,5,강민혁,0,28-Jun-91,17,2010,0,1,"가수,탤런트","강민혁
가수, 탤런트",,,0
Lee Chung Ah,6,이청아,1,29-Oct-84,29,2002,0,0,"영화배우,탤런트","이청아
Chung Ah Lee
영화배우, 탤런트",,,0
Lee Dong Gun,7,이동건,0,26-Jul-80,26,1998,0,1,"영화배우,가수","이동건
영화배우, 가수",,,0
Jeon Hyo Sung,2,전효성,1,13-Oct-89,27,2005,0,1,"탤런트,가수","전효성
Jun Hyo Seong
탤런트, 가수",,,0
Kim Myung Soo,7,엘,0,13-Mar-92,18,2010,0,1,"엘탤런트,가수","김명수
엘
탤런트, 가수",,,0
Choi Jin Hyuk,7,최진혁,0,09-Feb-86,27,2006,0,0,"김태호,탤런트,영화배우","최진혁
김태호, Jin Hyuk Choi
탤런트, 영화배우",,,0
Choi Min Soo,5,최민수,0,01-May-62,28,1985,0,0,"영화배우,탤런트","최민수
영화배우, 탤런트",,,0
Yeonwoo,5,연우,1,01-Aug-96,14,2016,0,0,증권정보,증권정보,,,0
Kim Yoo Ri,3,김유리,1,29-Aug-84,15,2006,0,0,탤런트,"김유리
탤런트",,,0
Kim Tae Ri,3,김태리,1,24-Apr-90,3,2012,0,0,영화배우,"김태리
영화배우",,,0
Oh Jung Se,7,오정세,0,26-Feb-77,31,1997,1,0,"영화배우,연극배우","오정세
영화배우, 연극배우",,,0
Hong Kyung,1,홍경,0,14-Feb-96,11,2017,0,0,"영화배우,탤런트","홍경
영화배우, 탤런트",,,0
Kim Tae Hee,3,김태희,1,29-Mar-80,15,2000,0,0,"탤런트,영화배우","김태희
탤런트, 영화배우",,,
Im Ji Yeon,8,임지연,1,23-Jun-90,13,2011,0,0,영화배우,"임지연
영화배우",,,
Kim Sung Oh,3,김성오,0,15-Sep-78,29,2000,1,0,"탤런트,연극배우","김성오
탤런트, 연극배우",,,
Choi Jae Rim,1,최재림,0,29-Apr-85,4,2009,0,0,뮤지컬배우,"최재림
Jae Rim Choi
뮤지컬배우",,,
Lee Jun Ho,6,이준호,0,25-Jan-90,15,2008,0,1,"가수,영화배우","이준호
가수, 영화배우",,,
Im Yoon Ah,5,임윤아,1,30-May-90,20,2007,0,1,"임윤아가수,탤런트","윤아
임윤아
가수, 탤런트",,,
