actor_name,drama_num
Jung Hae In,7
Koo Kyo Hwan,3
Kim Sung Kyun,6
Son Suk Ku,7
Lee Sung Min,6
Jung Jin Young,12
Kyung Soo Jin,8
Lee Hak Joo,4
Kim Shin Rok,2
Park Gyu Young,3
Kang Min Hyuk,5
Lee Chung Ah,6
Lee Dong Gun,7
Jeon Hyo Sung,2
Kim Myung Soo,7
Choi Jin Hyuk,7
Choi Min Soo,5
Yeonwoo,5
Kim Yoo Ri,3
Kim Tae Ri,3
Oh Jung Se,7
Hong Kyung,1
Kim Tae Hee,3
Im Ji Yeon,8
Kim Sung Oh,3
Choi Jae Rim,1
Lee Jun Ho,6
Im Yoon Ah,5
Shin Hye Sun,8
Ahn Bo Hyun,7
Ha Yoon Kyung,1
Ahn Dong Goo,1
Woo Do Hwan,7
Lee Sang Yi,3
Heo Joon Ho,7
Park Sung Woong,9
Cha Sun Woo,3
Ha Seung Ri,2
Choi Yoo Jung,2
Kim Jong Hyeon,2
Lee Eun Saem,1
Yeri,2
Lee Jong Hyuk,6
Yoo Jung Hoo,2
Lee El,4
Jin Seo Yun,3
Cha Ye Ryun,5
Park  Hyo Joo,2
Woo Jeong Won,1
Chun Woo Hee,3
Kim Dong Wook,9
Yoon Park,11
Park So Jin,3
Song  Ha Yoon,5
Lee Dong Hae,1
Lee Min Jae,1
Jung Woo Yeon,2
Kim Woo Bin,2
Song Seung Heon,7
Kang Yoo Seok,3
Esom,5
Lee Yun Hee,6
Hong Jong Hyun,5
Moon So Ri,4
U-Know,3
Lee Hyun Joo,2
Lee Dong Wook,8
Kim So Yeon,8
Kim Bum,6
Ryu Kyung Soo,2
Oh Se Hun,2
Jang Yeo Bin,1
Jo Joon Young,1
Jin Ki Joo,5
Han Seok Kyu,4
Lee Sung Kyung,9
Ahn Hyo Seop,6
Kim Joo Heon,5
Ra Mi Ran,6
Lee Do Hyun,7
Ahn Eun Jin,3
Yoo In Soo,1
Kim Sun Ah,7
Oh Yoon Ah,6
Shin Eun Jung,1
Yoo  Sun,7
Jang Hyuk,10
Jang Na Ra,8
Chae Jung An,7
Kim Nam Hee,2
Uhm Jung Hwa,3
