eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
Sing My Crush,따라바람,"['Music', 'Comedy', 'Romance', 'Youth']",,['So Joon Moon'],,2023-08-02,2023-08-02,Wednesday,2023,8,"Follow the story of acquaintances Ba Ram and Han Tae after an incident occurred during their school years. Now that they are adults, will Ba Ram be able to suppress the feelings for Han Tae that he has harbored for so long?(Source: BLUPDATE2022 Twitter)~~ Adapted from the webtoon ""Ttarabaram"" (따라바람) by Geom Dung (검둥). ","['Jang Do Yoon', 'Son Hyun Woo']",35,400600,False,"121,387건",2023-10-01
D.P. Season 2,디피 시즌2,"['Action', 'Military', 'Drama']",Netflix,,['Kim Bo Tong'],2023-07-28,2023-07-28,Friday,2023,6,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ","['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun', 'Son Suk Ku']",33,17419300,False,"1,507건",2023-09-26
Shadow Detective Season 2,형사록 시즌2,"['Mystery', 'Drama']",Disney+ Hulu,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",2023-07-05,2023-07-26,Wednesday,2023,8,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ","['Lee Sung Min', 'Jung Jin Young', 'Kyung Soo Jin', 'Lee Hak Joo', 'Kim Shin Rok']",32,23527700,False,394건,2023-09-03
Celebrity,셀러브리티,"['Thriller', 'Mystery', 'Drama']",Netflix,['Kim Chul Gyu'],['Kim Yi Young'],2023-06-30,2023-06-30,Friday,2023,12,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix) ,"['Park Gyu Young', 'Kang Min Hyuk', 'Lee Chung Ah', 'Lee Dong Gun', 'Jeon Hyo Sung']",33,203253000,False,"5,700건",2023-08-29
Blue Temperature,파랑의 온도,"['Romance', 'Youth']",Naver TV Cast,,,2023-06-28,2023-07-19,Wednesday,2023,4,"Set in the picturesque town of Cheongdo, this story revolves around the lives of two high school students, Soo Ah and Soo Hyuk. Soo Ah temporarily moves to Cheongdo to help her mother with persimmon farming. While adjusting to the new environment, she encounters Soo Hyuk, a responsible and hardworking student who is determined to carry on his family's café business. Soo Hyuk also happens to be  Soo Ah's first love.As Soo Ah and Soo Hyuk spend time together in Cheongdo, their friendship gradually blossoms into a deep bond.(Source: SooNum at MyDramaList)","['Choi Da Hye', 'Cho Han Gyeol']",27,25674800,False,"1,438건",2023-08-27
Numbers,넘버스: 빌딩숲의 감시자들,"['Action', 'Thriller', 'Mystery', 'Drama']",MBC,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']",2023-06-23,2023-07-29,"Friday, Saturday",2023,12,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)","['Kim Myung Soo', 'Choi Jin Hyuk', 'Choi Min Soo', 'Yeonwoo', 'Kim Yoo Ri']",32,6010300,False,732건,2023-08-22
Revenant,악귀,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",SBS,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],2023-06-23,2023-07-29,"Friday, Saturday",2023,12,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)","['Kim Tae Ri', 'Oh Jung Se', 'Hong Kyung']",32,32661000,False,"17,607건",2023-08-22
Lies Hidden in My Garden,마당이 있는 집,"['Thriller', 'Mystery', 'Psychological', 'Drama']",ENA Genie TV,['Jung Ji Hyun'],['Ji Ah Nee'],2023-06-19,2023-07-11,"Monday, Tuesday",2023,8,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).","['Kim Tae Hee', 'Im Ji Yeon', 'Kim Sung Oh', 'Choi Jae Rim']",33,36537000,False,"62,814건",2023-08-18
King the Land,킹더랜드,"['Comedy', 'Romance']",jTBC Netflix TVING,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],2023-06-17,2023-08-06,"Saturday, Sunday",2023,16,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ","['Lee Jun Ho', 'Im Yoon Ah']",33,49569000,False,"14,600건",2023-08-16
See You in My 19th Life,이번 생도 잘 부탁해,"['Comedy', 'Romance', 'Drama', 'Fantasy']",Netflix TVING tvN,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",2023-06-17,2023-07-23,"Saturday, Sunday",2023,12,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).","['Shin Hye Sun', 'Ahn Bo Hyun', 'Ha Yoon Kyung', 'Ahn Dong Goo']",32,10936000,False,"4,524건",2023-08-16
