Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
76,The Glory,Netflix,['Ahn Gil Ho'],['Kim Eun Sook'],"Dec 30, 2022","Dec 30, 2022",Friday,2022,8,375.0,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.","['Im Ji Yeon', 'Lee Do Hyun', 'Song Hye Kyo', 'Yeom Hye Ran', 'Park Sung Hoon', 'Jung Sung Il']",더 글로리
77,Island,Amazon Prime TVING,['Bae Jong'],"['Jang Yoon Mi', 'Oh Bo Hyun']",2022-12-30,2023-01-13,Friday,2022,6,550.0,"Won Mi Ho is the only daughter of her father who runs Daehan Group. Her arrogant and selfish attitude causes her to make a big mistake that eventually angers her father into banishing her to Jeju island. There, she is assigned to work as a high school ethics teacher. Unbeknownst to her, the island is where evil roams free. She meets other individuals on the island and together, the characters join forces to live. (Source: AsianWiki; edited by ENKII)~~ Adapted from the webtoon ""Island"" (아일랜드) written by Yoon In Wan (윤인완) and illustrated by Yang Kyung Il (양경일).","['Kim Nam Gil', 'Lee Da Hee', 'Cha Eun Woo']",아일랜드
78,Hit the Spot,,['Yoon Ra Young'],,2022-12-23,2023-01-13,Friday,2022,8,262.0,"A warm, friendly, considerate person, Hee Jae is surrounded by people who claim to know and love her. The problem for Hee Jae is that she isn’t really sure if she really understands herself. On the other hand, Mi Na is Hee Jae's confident and energetic best friend and colleague at Play Books, a supplier of books and related products centered around sex and romance. While an expert in how to achieve physical pleasure, her understanding falls short on romantic relationships. When they find themselves told to take over hosting a sex and romance advice podcast, the two feel more than a little lost.Having never experienced an orgasm or explored her own sexuality beyond routine, lifeless intercourse with her boyfriend of five years, Hee Jae isn’t the most qualified person to be hosting a sex advice podcast. Trapped in a loveless routine of emotionally detached, no strings attached casual sex, Mi Na is hardly one to ask for advice on committed romantic relationships. With no one else able to take over the program, though, they really don’t have a choice. Suddenly thrust into a world she doesn’t understand, Hee Jae finds herself opening up to new ideas and starts to explore her own body and seek out new experiences. Fed up with cycling through men who only satisfy her body and nothing more, Mi Na, too, desperately wants things to change.Pooling their lifetime of experiences and newfound knowledge, Mi Na and Hee Jae decide to make a major life change by opening a sex counseling service together. Working to help others find personal satisfaction, will these friends find the satisfaction they both so crave?(Source: Viki, MyDramaList)","['Ahn Hee Yeon', 'Bae Woo Hee', 'Park Sun Ho', 'Choi Kwang Rok']",판타G스팟
79,The Fabulous,Netflix,['Kim Jung Hyun'],,"Dec 23, 2022","Dec 23, 2022",Friday,2022,8,405.0,"A story of people who have devoted their lives to the fashion industry and struggle to survive there.Ji Woo Min is a freelance retoucher, who is responsible for improving photographs. He is good looking and competent at his job, but he's not passionate about his work or with love.Since Pyo Ji Eun was little, she dreamed of working in the fashion field. She now works as the section chief of a luxury brand promotion agency. While she struggles to survive in the fashion field, she maintains herself with a bright personality and positive energy.(Source: AsianWiki)","['Chae Soo Bin', 'Choi Min Ho', 'Lee Sang Woon', 'Park Hee Jung']",더 패뷸러스
80,The Interest of Love,jTBC Netflix,['Jo Young Min'],"['Lee Hyun Jung', 'Lee Seo Hyun']",2022-12-21,2023-02-09,"Wednesday, Thursday",2022,16,262.0,"Takes place at Nara Bank’s Yeongpo branch, which is celebrating the 99th anniversary of its foundation. The story focuses on the scandalous office romance between the characters Ha Sang Soo, Ahn Soo Young, Park Mi Kyung, and Jung Jong Hyun.Ha Sang Soo, the senior head of the comprehensive consultation team at Nara Bank’s Yeongpo branch. Ha Sang Soo has had this position for three years already, and he is a handsome, intelligent, and sturdy person who will not waver in the face of life’s difficulties. Although he is an upright character, Ha Sang Soo is not cold or too formal but rather warmhearted with a humorous side. Not to mention, he has an athletic form fit for a national athlete rather than a bank employee. He entered his job as the top employee from Nara Bank’s training center, so he is very popular but also the source of envy for many others.Ahn Soo Young is a fourth-year chief bank teller atNara Bank’s Yeongpo branch. Known as the goddess of Yeongpo branch, she possesses gorgeous looks and a sweet voice. She started off as a part-time teller and is now a fourth-year chief, but she seems to be forever stuck at that level.Park Mi Kyung comes from a rich family. She is self-assertive and quite open about her feelings. When she has someone that she likes, she makes that person join her side no matter what. She enters a relationship that doesn't go as she wishes.Jung Jong Hyun is studying for an exam to become a police officer. He has a personality that drives him do his best in everything. He lives in a harsh situation.(Source: Naver, Soompi, Asianwiki)~~ Adapted from the novel ""Sarangui Ihae"" (사랑의 이해) by Lee Hyuk Jin (이혁진).","['Yoo Yeon Seok', 'Mun Ka Young', 'Geum Sae Rok', 'Jung Ga Ram']",사랑의 이해
81,The New Employee,,['Kim Jho Kwang Soo'],,2022-12-21,2023-02-01,Wednesday,2022,7,171.0,"Seung Hyun is a virgin guy in his late twenties. A late bloomer, he finally manages to score the internship of his dreams. On his first day at work, he runs into the handsome yet cold Kim Jong Chan. Who is he? Just Seung Hyun's new boss! Will the two be able to keep their hands off each other at work?(Source: BL Series News Instagram)~~ Adapted from the web novel ""The New Employee"" (신입사원) by Moscareto (모스카레토).","['Kwon Hyuk', 'Moon Ji Yong']",신입사원
82,Big Bet,Disney+ Hulu,,,2022-12-21,2023-01-25,Wednesday,2022,8,450.0,"Cha Mu Sik runs a casino bar, only to flee to the Philippines due to a crackdown by the National Tax Service. He launches a full-fledged casino business and strategizes winning over the political and business circles in the Philippines. However, he is suddenly framed as a suspect in Min Seok Joon's death and is tracked by Oh Seung Hoon of the Korean Desk. Betrayal is rampant in the presence of money. Who will be the last person standing?(Source: Hulu)~~ Co-production with the U.S.A.","['Son Suk Ku', 'Choi Min Shik', 'Lee Dong Hwi']",카지노 시즌1
83,Trolley,Netflix SBS,['Kim Moon Kyo'],['Ryu Bo Ri'],2022-12-19,2023-02-14,"Monday, Tuesday",2022,16,225.0,"""Trolley"" will tell the story of a lawmaker's wife who hides her past. It will showcase the dilemma and struggles that couples face as their secret got revealed to the world.(Source: Naver) ","['Kim Hyun Joo', 'Park Hee Soon', 'Kim Mu Yeol', 'Jung Soo Bin']",트롤리
84,Missing: The Other Side Season 2,tvN,"['Min Yeon Hong', 'Lee Ye Rim']","['Ban Ki Ri', 'Jung So Young']",2022-12-19,2023-01-31,"Monday, Tuesday",2022,14,257.0,"3 Gongdan is a village where missing deceased people, including Kang Eun Sil and Oh Il Yong, stay. Meanwhile, Kim Wook, Jang Pan Seok, Lee Jong A, and Detective Shin Joon Ho try to find the bodies of the missing people and chase after the truth behind their deaths.(Source: AsianWiki) ","['Heo Joon Ho', 'Go Soo', 'Ahn So Hee', 'Ha Joon', 'Lee Jung Eun', 'Kim Dong Hwi']",미씽: 그들이 있었다2
85,Red Balloon,TV Chosun,['Jin Hyung Wook'],['Moon Young Nam'],2022-12-17,2023-02-26,"Saturday, Sunday",2022,20,255.0,"A story of four people attempting to quench their desires and appease their heartbreaks.Jo Eun Gang wants to become a school teacher, but she has failed to pass her teaching examination. She now works as a private tutor. She appears calm, but she holds something hot within her heart. She is a person who will do anything to get what she wants.Ji Nam Cheol comes from a poor family, but he is married to a woman from a rich family. He runs a business that is actually owned by his father-in-law. Ji Nam Cheol is powerless at the company.Han Ba Da is a married woman. She works as a jewelry designer. Right before her wedding, her parents went bankrupt. She was about to give up on her wedding, but her fiance persuaded her to marry him. Her life is not easy due to her mother-in-law.Go Cha Won works as a dermatologist. He became a doctor as his parents expected and is married to Han Ba Da. He doesn't like his job and he knows his wife is having a hard time due to his mother, but he doesn't know what to do. His brother-in-law is Ji Nam Cheol.(Source: AsianWiki)","['Seo Ji Hye', 'Hong Soo Hyun', 'Lee Sang Woo', 'Lee Sung Jae']",紅色氣球
