Unnamed: 0,drama_name,kor_title,genre,org_net,director,screenwriter,actor_list,year,aired_on,tot_eps,time_per_ep,start_dt,end_dt,synopsis,month,youtube_cnt,tot_views,org_terrestrial_TV,org_cable_TV,org_OTT,org_etc,org_broad_num,director_drama_num,screenwriter_drama_num,daily_views,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,season_Spring,season_Summer,season_Winter,week_of_weekend,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
0,D.P. Season 2,디피 시즌2,"['Action', 'Military', 'Drama']",Netflix,['Han Jun Hee'],['Kim Bo Tong'],"['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun', 'Son Suk Ku']",2023,Friday,6,500,2023-07-28,2023-07-28,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ",7,662,106628600,0,0,1,0,1,1.0,2.0,2176094,4,0,3,0,0,13.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,Shadow Detective Season 2,형사록 시즌2,"['Mystery', 'Drama']",Disney+,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']","['Lee Sung Min', 'Jung Jin Young', 'Kyung Soo Jin', 'Lee Hak Joo', 'Kim Shin Rok']",2023,Wednesday,8,412,2023-07-05,2023-07-26,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ",7,630,131316100,0,0,2,0,2,6.0,1.0,1823835,3,2,3,0,0,21.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Celebrity,셀러브리티,"['Thriller', 'Mystery', 'Drama']",Netflix,['Kim Chul Gyu'],['Kim Yi Young'],"['Park Gyu Young', 'Kang Min Hyuk', 'Lee Chung Ah', 'Lee Dong Gun', 'Jeon Hyo Sung']",2023,Friday,12,225,2023-06-30,2023-06-30,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix),6,640,340285100,0,0,1,0,1,7.0,3.0,4419287,2,3,0,0,3,23.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Numbers,넘버스: 빌딩숲의 감시자들,"['Action', 'Thriller', 'Mystery', 'Drama']",MBC,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']","['Kim Myung Soo', 'Choi Jin Hyuk', 'Choi Min Soo', 'Yeonwoo', 'Kim Yoo Ri']",2023,"Friday, Saturday",12,300,2023-06-23,2023-07-29,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)",6,598,20862700,1,0,0,0,1,3.0,1.0,248365,3,2,1,0,2,20.0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Revenant,악귀,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",SBS,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],"['Kim Tae Ri', 'Oh Jung Se', 'Hong Kyung']",2023,"Friday, Saturday",12,350,2023-06-23,2023-07-29,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)",6,578,54737700,1,0,0,0,1,5.0,8.0,651639,2,1,1,0,0,15.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,Lies Hidden in My Garden,마당이 있는 집,"['Thriller', 'Mystery', 'Psychological', 'Drama']",ENA,['Jung Ji Hyun'],['Ji Ah Nee'],"['Kim Tae Hee', 'Im Ji Yeon', 'Kim Sung Oh', 'Choi Jae Rim']",2023,"Monday, Tuesday",8,450,2023-06-19,2023-07-11,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).",6,566,101206600,0,0,2,0,2,5.0,1.0,1150075,2,2,2,0,0,15.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,King the Land,킹더랜드,"['Comedy', 'Romance']",jTBC,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],"['Lee Jun Ho', 'Im Yoon Ah']",2023,"Saturday, Sunday",16,300,2023-06-17,2023-08-06,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ",6,574,180572400,0,1,2,0,3,4.0,1.0,2006360,1,1,0,0,2,18.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,See You in My 19th Life,이번 생도 잘 부탁해,"['Comedy', 'Romance', 'Drama', 'Fantasy']",Netflix,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']","['Shin Hye Sun', 'Ahn Bo Hyun', 'Ha Yoon Kyung', 'Ahn Dong Goo']",2023,"Saturday, Sunday",12,350,2023-06-17,2023-07-23,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).",6,550,28503200,0,1,2,0,3,6.0,1.0,316702,2,2,1,0,0,13.0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Bloodhounds,사냥개들,"['Action', 'Thriller', 'Crime', 'Drama']",Netflix,['Kim Ju Hwan'],['Kim Ju Hwan'],"['Woo Do Hwan', 'Lee Sang Yi', 'Heo Joon Ho', 'Park Sung Woong']",2023,Friday,8,450,2023-06-09,2023-06-09,"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.(Source: Netflix)~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).",6,552,174195500,0,0,1,0,1,1.0,1.0,1777505,4,0,1,0,0,22.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,The Villain of Romance,로맨스빌런,['Romance'],MBC Dramanet,['Kwak Bong Chul'],['Wol Pi Dong'],"['Cha Sun Woo', 'Ha Seung Ri']",2023,"Monday, Tuesday",10,270,2023-06-05,2023-06-27,"A coming-of-age story and realistic romance about young college “villains” who are still learning about love. Kang Hee Jae desperately wants to appear cool to others, but secretly feels smaller than plankton on the inside. While struggling to forgive his girlfriend, Yoo Jin, for her “savage” behavior, he winds up gradually transforming into an obsessive monster.Meanwhile, Ban Yoo Jin is a highly intelligent older student at Kang Hee Jae’s college. Because Yoo Jin can never seem to keep a relationship going for longer than 100 days, she starts to worry that she’ll wind up living a lonely life alone. So when younger student Hee Jae boldly shoots his shot, she decides to put him through some intense “training” as they date.",6,616,39530300,0,1,0,0,1,1.0,1.0,387552,1,1,0,1,1,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
