actor_eng,actor_kor,gender,birth
Jang Do Yoon,장도윤,0.0,"August 31, 1995"
Son Hyun Woo,손현우,0.0,"July 30, 1996"
Jung Hae In,정해인,0.0,"April 1, 1988"
Koo Kyo Hwan,구교환,0.0,"December 14, 1982"
Kim Sung Kyun,김성균,0.0,"May 25, 1980"
Son Suk Ku,손석구,0.0,"February 7, 1983"
Lee Sung Min,이성민,0.0,"December 4, 1968"
Jung Jin Young,정진영,0.0,"November 18, 1991"
Kyung Soo Jin,경수진,1.0,"November 5, 1987"
Lee Hak Joo,이학주,0.0,"January 9, 1989"
Kim Shin Rok,김신록,1.0,"March 24, 1981"
Park Gyu Young,박규영,1.0,"July 27, 1993"
Kang Min Hyuk,강민혁,0.0,"June 28, 1991"
Lee Chung Ah,이청아,1.0,"October 29, 1984"
Lee Dong Gun,이동건,0.0,"July 26, 1980"
Jeon Hyo Sung,전효성,1.0,"October 13, 1989"
Kim Myung Soo,김명수,0.0,"March 13, 1992"
Choi Jin Hyuk,최진혁,0.0,"February 9, 1986"
Choi Min Soo,최민수,0.0,"May 1, 1962"
Yeonwoo,이다빈,1.0,"August 1, 1996"
Kim Yoo Ri,김유리,1.0,"August 29, 1984"
Kim Tae Ri,김태리,1.0,"April 24, 1990"
Oh Jung Se,오정세,0.0,"February 26, 1977"
Hong Kyung,"홍경
",0.0,"February 14, 1996"
Ryu Hye Young,류혜영,1.0,"March 28, 1991"
Yoon Sang Jung,윤상정,1.0,"January 17, 1998"
Shin Do Hyun,신도현,1.0,"November 5, 1995"
Baek Soo Hee,백수희,1.0,"October 30, 1992"
Kim Tae Hee,김태희,1.0,"March 29, 1980"
Im Ji Yeon,임지연,1.0,"June 23, 1990"
Kim Sung Oh,김성오,0.0,"September 15, 1978"
Choi Jae Rim,최재림,0.0,"April 29, 1985"
Lee Jun Ho,이준호,0.0,"January 25, 1990"
Im Yoon Ah,임윤아,1.0,"May 30, 1990"
Shin Hye Sun,신혜선,1.0,"August 31, 1989"
Ahn Bo Hyun,안보현,0.0,"May 16, 1988"
Ha Yoon Kyung,하윤경,1.0,"October 20, 1992"
Ahn Dong Goo,안동구,0.0,"November 2, 1993"
Woo Do Hwan,우도환,0.0,"July 12, 1992"
Lee Sang Yi,이상이,0.0,"November 27, 1991"
Heo Joon Ho,허준호,0.0,"April 14, 1964"
Park Sung Woong,박성웅,0.0,"January 9, 1973"
Do Won,김관수,0.0,"August 27, 1994"
Yoon Do Jin,윤도진,0.0,"January 14, 1998"
Cha Hun,"차훈
",0.0,"July 12, 1994"
Lee Eun Bi,이은비,1.0,"October 7, 1996"
Kim Jin Woo,김진우,0.0,"July 17, 1983"
Cha Sun Woo,차선우,0.0,"September 5, 1992"
Ha Seung Ri,하승리,1.0,"January 9, 1995"
Choi Yoo Jung,최유정,1.0,"November 12, 1999"
Kim Jong Hyeon,김종현,0.0,"June 8, 1995"
Lee Eun Saem,이은샘,1.0,"October 10, 1999"
Yeri,"예리
",1.0,"March 5, 1999"
Lee Jong Hyuk,이종혁,0.0,"June 23, 1997"
Yoo Jung Hoo,유정후,0.0,"October 27, 1997"
Lee El,"이엘
",1.0,"August 26, 1982"
Jin Seo Yun,진서연,1.0,"January 18, 1983"
Cha Ye Ryun,차예련,1.0,"July 16, 1985"
Park Hyo Joo,박효주,1.0,"October 8, 1982"
Woo Jeong Won,우정원,1.0,"August 27, 1983"
Chun Woo Hee,천우희,1.0,"April 20, 1987"
Kim Dong Wook,김동욱,0.0,"July 29, 1983"
Yoon Park,"윤박
",0.0,"November 18, 1987"
Park So Jin,박소진,1.0,"May 21, 1986"
Lee Na Young,이나영,1.0,"February 22, 1979"
Zuho,"주호
",0.0,"July 4, 1996"
Kim In Sung,김인성,0.0," Name: In Sung
Family Name: Kim
Native name: 김인성
Also Known as: Kim In Seong
Nationality: South Korean"
Song Ha Yoon,송하윤,1.0,"December 2, 1986"
Lee Dong Hae,이동해,0.0,"October 15, 1986"
Lee Min Jae,이민재,0.0,"January 21, 2000"
