,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
3,248365,3,1,12,60,0,1,0,1,1,0,0,3,2,1,0,2,20,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,211121,5,1,16,70,1,0,0,0,0,1,0,2,2,0,0,1,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,200866,4,2,16,70,1,0,0,0,1,1,0,1,1,0,0,0,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,145144,1,1,16,80,1,0,0,0,0,1,0,0,3,0,0,0,32,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,224864,6,1,11,67,1,0,0,0,0,0,1,0,2,0,0,1,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
26,39635,4,1,12,60,1,0,0,0,0,1,0,4,2,1,0,3,34,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,72145,3,2,16,70,1,0,0,1,1,0,0,2,1,0,0,2,13,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,55774,10,2,18,70,1,0,0,0,1,1,0,3,1,0,0,0,12,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,64806,2,1,10,35,1,0,0,0,0,0,1,2,0,0,0,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,28160,6,1,16,62,1,0,0,1,0,1,2,3,2,0,0,0,28,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,207706,6,4,12,60,1,0,0,1,0,1,2,3,1,3,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
