kdrama_id,title,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,korean_title
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,2023,['Yoo In Shik'],['Kang Eun Kyung'],South Korea,Drama,16,4200.0,2023-04-28,2023-06-17,"Friday, Saturday",SBS,15+ - Teens 15 or older,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need to be transported to the hospital. To complicate matters, the South Korean government wants the North Korean patients returned to their country as part of diplomatic efforts with their neighbouring country.Amidst the chaos, Cha Jin Man—the father of Cha Eun Jae and a former rival of Dr. Kim Sa Bu—is brought on board to run the new trauma centre. (Source: AsianWiki; edited by MyDramaList)",50,706,낭만닥터 김사부3
95b9396130b1478398d12faf08797097,Happy Merry Ending,2023,['Min Chae Yeon'],['Seok Bo Bae'],South Korea,Drama,8,900.0,2023-04-27,2023-05-19,"Thursday, Friday",,13+ - Teens 13 or older,"Seung Jun is a singing coach and part-time singer at weddings, where he performs without any enthusiasm. He is insecure and withdrawn and has suffered panic attacks since being brutally dumped by his first love. Jae Hyun, a newly hired pianist at the wedding venue, becomes instantly besotted when he meets Seung Jun and immediately sets out to pursue him romantically. Seung Jun, while not rejecting Jae Hyun’s advances outright, is unable to let anyone get close to him. As the two continue to work together at weddings, will the warm and outgoing Jae Hyun succeed in wearing down Seung Jun’s defences?(Source: MyDramaList)~~ Adapted from the webtoon“Happy Merry Ending” (해피메리엔딩) by dorae (도래).",7632,1366,해피메리엔딩
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,2023,['Sung Yong Il'],['Lee Nam Gyu'],South Korea,Drama,4,4200.0,"Apr 21, 2023","Apr 21, 2023",Friday,TVING,18+ Restricted (violence & profanity),"Story of 3rd year students of Sungjin High School who started a 'real war' to fight against the attack of a mysterious creature that covered the sky. Will they be able to save the planet from doom?(Source: MyDramaList)~~ Adapted from the webtoon ""Duty After School"" (방과 후 전쟁활동) by Ha Il Kwon (하일권) ",7853,1283,방과 후 전쟁활동 파트2
ddf16355b9ac4a99bbc9944005716be8,Strong Underdog,2023,['Ryu Kwang Hyun'],,South Korea,Drama,6,1320.0,2023-04-17,2023-05-27,,,13+ - Teens 13 or older,"As a high school student, Jung Woo isn’t exactly at the top of his class's social hierarchy. In fact, as one who is bullied daily, Jung Woo could easily be considered one of the lowest, most unlucky students in his entire school. Struggling every day just to get by, Jung Woo does everything he can to hang on long enough to graduate. But when Jae Seong and his cronies decide to hold a fighting tournament among the school’s weakest students, Jung Woo finds himself caught up in the school’s biggest, most talked-about event of the year. Determined not to lose, Jung Woo heads to the gym to train, but it isn’t until he meets the school’s new transfer student, Min Ah, that he finds the inspiration he needs to truly fight back. (Source: Viki)",46705,14008,"셔틀, 최강의 셔틀"
ce34fc07d8e24fa28d2aa66b73e2b916,Pale Moon,2023,"['Yoo Jong Sun', 'Kim Seung Woo']",['No Yoon Soo'],South Korea,Drama,10,3900.0,2023-04-10,2023-05-09,"Monday, Tuesday",ENA Genie TV,18+ Restricted (violence & profanity),"Yoo Yi Hwa lives with her husband, who is indifferent to her. Yoo Yi Hwa's life as a housewife is comfortable but boring. She begins to work at a bank as a contract worker. While working at the bank, she regains her confidence. But, Yoo Yi Hwa begins to steal money from her clients.(Source: AsianWiki)~~ Adapted from the novel ""Kami no Tsuki""(紙の月) by Mitsuyo Kakuta (角田光代). ",42476,6397,종이달
5d09282602294569ad3b03d314fd4656,Decoy: Part 2,2023,['Kim Hong Seon'],['Kim Jin Wook'],South Korea,Drama,6,3480.0,2023-04-07,2023-04-21,Friday,,Not Yet Rated,"Just under a decade ago, South Korea was shaken to the core by a financial fraud project. Thousands of unsuspecting victims were tricked into investing their life savings. After the project was exposed as a scam, its mastermind Noh Sang Cheon ran away to China in a bid to escape the police. But he was soon after reported to have died in mysterious circumstances. The trail went cold. But some eight years after he was reported dead, the evidence appears to suggest that the notorious fraudster is still alive! A spate of killings begins, with Noh Sang Cheon apparently linked to the deaths.Trying to piece together the truth is the police officer and former lawyer Goo Do Han. Also on a quest for truth is a reporter named Cheon Na Yeon. She believes that a number of the murders have been covered – and that police investigations into the death may have been botched. The stakes begin to rise as games become deadly. What is really happening? And what role does Noh Sang Cheon play in these fatal events?(Source: Viki)",3220,5905,미끼 파트2
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,2023,['Sung Yong Il'],['Lee Nam Gyu'],South Korea,Drama,6,4440.0,"Mar 31, 2023","Mar 31, 2023",Friday,TVING,18+ Restricted (violence & profanity),"The students and teachers at Sungjin High School receive a terrifying shock when they witness the start of an alien invasion. Coming from the skies, horrific “eggs” hatch violent insect-like creatures that attack humans. The invasion is worldwide, and the South Korean military fears it will be overwhelmed. In desperation, the President announces that mandatory conscription will begin – and that all third-year high schoolers – male and female – must join the armed forces.Soldiers arrive at Sungjin High School. And the third-years – who only have 50 days until they are supposed to sit their university entrance exams – must commence their military training in the school playground. They must learn how to shoot rifles, fight hand-to-hand, and navigate obstacle courses...in their school uniform! Putting the students through their paces will be the platoon leader Lee Chun Ho. Meanwhile, the class teacher Park Eun Young is determined to do what she can to keep her students out of harm’s way. Will the high schoolers help save the planet from doom?(Source: Viki)~~ Adapted from the webtoon ""Duty After School"" (방과 후 전쟁활동) by Ha Il Kwon (하일권).",396,718,방과 후 전쟁활동 파트1
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,2023,['Jang Eui Soon'],,South Korea,Drama,10,2100.0,2023-03-17,2023-04-14,Friday,TVING,15+ - Teens 15 or older,"When Ji Won Young's direct superior at work is fired due to a corruption scandal, Won Young - in spite of being innocent of any wrongdoing - finds himself unceremoniously discharged from the company as well. Desperate to get his job back, Won Young tries to curry favor by tracking down the chairman's favorite artist. He finds the missing man running a pottery shop in a remote town, but it's clear that Yoon Tae Joon has no desire to be found.Won Young decides to hang around town and secretly report whatever he can learn about Tae Joon's self-imposed exile, but when feelings begin to develop between the two, Won Young starts to question his sexuality, his motivations, and whether he even wants to go back to his old life in Seoul. But what will happen when Tae Joon learns Won Young has been spying on him this entire time?(Source: Anime-Planet)~~ Adapted from the webtoon ""Biuidojeog Yeonaedam"" (비의도적 연애담) by Phobe (피비).",3286,778,비의도적 연애담
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,2023,['Shin Chang Seok'],['Lee Jung Dae'],South Korea,Drama,103,2400.0,2023-03-14,2023-08-04,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,"Gyeo Ul witnesses her husband Yu Jin having an affair with her friend Ae Ra who becomes the target of her revenge. It causes Gyeo Ul to lose her eyesight and suffer from lock-in syndrome out of shock.  Gyeo Ul gets involved with Se Rin, an heiress who owns everything. Se Rin is an arrogant and cold-hearted woman who looks down on people and does not hesitate to take revenge on whoever stabs her in the back. (Source: Kocowa)",55017,8101,비밀의 여자
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,2023,['Ahn Gil Ho'],['Kim Eun Sook'],South Korea,Drama,8,3300.0,"Mar 10, 2023","Mar 10, 2023",Friday,Netflix,18+ Restricted (violence & profanity),"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals.(Source: AsianWiki)",47,191,더글로리 파트 2
