,year,month,rank,song,singer,info
0,2021,01,1,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1)
1,2021,01,2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
2,2021,01,3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
3,2021,01,4,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
4,2021,01,5,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
5,2021,01,6,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
6,2021,01,7,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
7,2021,01,8,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
8,2021,01,9,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
9,2021,01,10,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
10,2021,01,11,기억해줘요 내 모든 날과 그때를,거미 (Gummy),호텔 델루나 OST Part.7 (tvN 토일드라마)
11,2021,01,12,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3 (tvN 토일드라마)
12,2021,01,13,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
13,2021,01,14,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
14,2021,01,15,그때 그 아인,김필,이태원 클라쓰 OST Part.6 (JTBC 금토드라마)
15,2021,01,16,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8 (tvN 목요드라마)
16,2021,01,17,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
17,2021,01,18,"다시 난, 여기",백예린 (Yerin Baek),사랑의 불시착 OST Part 4 (tvN 토일 드라마)
18,2021,01,19,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3 (JTBC 금토드라마)
19,2021,01,20,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
20,2021,01,21,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
